MATCH 1AB8D486 after generation 501 (33222 ms, 66 ms/gen)
MATCH 12A23325 after generation 215 (14295 ms, 66 ms/gen)
MATCH 8367F2C5 after generation 116 (7746 ms, 66 ms/gen)
MATCH BDA66B07 after generation 1318 (87272 ms, 66 ms/gen)
MATCH 792934C4 after generation 1081 (71602 ms, 66 ms/gen)
MATCH ED24E147 after generation 2417 (159991 ms, 66 ms/gen)
MATCH 767BFE86 after generation 670 (44421 ms, 66 ms/gen)
MATCH EA0BC6E4 after generation 717 (47521 ms, 66 ms/gen)
MATCH 1A886D46 after generation 815 (53995 ms, 66 ms/gen)
MATCH F1F6A105 after generation 552 (36598 ms, 66 ms/gen)
MATCH DAA74F87 after generation 2645 (175060 ms, 66 ms/gen)
MATCH EB77FA06 after generation 1109 (73448 ms, 66 ms/gen)
MATCH 797F56C6 after generation 418 (27736 ms, 66 ms/gen)
MATCH 6D30EF85 after generation 1694 (112158 ms, 66 ms/gen)
MATCH D87D3CC4 after generation 998 (66108 ms, 66 ms/gen)
MATCH FA93BC04 after generation 1520 (100640 ms, 66 ms/gen)
MATCH EC818566 after generation 358 (23763 ms, 66 ms/gen)
MATCH 7CFF87E5 after generation 812 (53786 ms, 66 ms/gen)
MATCH A9FD5AA7 after generation 314 (20845 ms, 66 ms/gen)
MATCH A88CA824 after generation 529 (35067 ms, 66 ms/gen)
MATCH B29E74C4 after generation 356 (23624 ms, 66 ms/gen)
MATCH 5F021E84 after generation 499 (33091 ms, 66 ms/gen)
MATCH 7D5257E6 after generation 697 (46195 ms, 66 ms/gen)
MATCH 2E50DA26 after generation 647 (42881 ms, 66 ms/gen)
MATCH 3FA140A6 after generation 1248 (82654 ms, 66 ms/gen)
MATCH DE02686 after generation 769 (50968 ms, 66 ms/gen)
MATCH D58B61A4 after generation 526 (34881 ms, 66 ms/gen)
MATCH ABE78A44 after generation 322 (21370 ms, 66 ms/gen)
MATCH CB923386 after generation 367 (24369 ms, 66 ms/gen)
MATCH FF6A16E6 after generation 1165 (77175 ms, 66 ms/gen)
MATCH F487A385 after generation 595 (39433 ms, 66 ms/gen)
MATCH D4B02DC4 after generation 422 (27994 ms, 66 ms/gen)
MATCH 6D6BC684 after generation 201 (13368 ms, 66 ms/gen)
MATCH F6844D84 after generation 411 (27264 ms, 66 ms/gen)
MATCH C4F6965 after generation 582 (38582 ms, 66 ms/gen)
MATCH FF30EAC5 after generation 160 (10652 ms, 66 ms/gen)
MATCH 46DCC5C6 after generation 607 (40226 ms, 66 ms/gen)
MATCH 8594B985 after generation 553 (36660 ms, 66 ms/gen)
MATCH CE2305C5 after generation 662 (43874 ms, 66 ms/gen)
MATCH 46020D06 after generation 426 (28261 ms, 66 ms/gen)
MATCH F2473704 after generation 562 (37265 ms, 66 ms/gen)
MATCH 9CE6DF04 after generation 531 (35207 ms, 66 ms/gen)
MATCH 1CE34864 after generation 424 (28122 ms, 66 ms/gen)
MATCH BC4AC325 after generation 480 (31830 ms, 66 ms/gen)
MATCH 424BC086 after generation 717 (47511 ms, 66 ms/gen)
MATCH F161EE04 after generation 738 (48899 ms, 66 ms/gen)
MATCH 15E0A306 after generation 1031 (68307 ms, 66 ms/gen)
MATCH CBA2E146 after generation 535 (35464 ms, 66 ms/gen)
MATCH 8B0B1666 after generation 575 (38118 ms, 66 ms/gen)
MATCH CCD2D506 after generation 266 (17673 ms, 66 ms/gen)
MATCH EA23CB84 after generation 648 (42957 ms, 66 ms/gen)
MATCH E34EBCE6 after generation 307 (20388 ms, 66 ms/gen)
MATCH 2216B164 after generation 893 (59156 ms, 66 ms/gen)
MATCH 4DB76C27 after generation 1314 (87034 ms, 66 ms/gen)
MATCH 5E9DD485 after generation 473 (31366 ms, 66 ms/gen)
MATCH E6585E64 after generation 1157 (76628 ms, 66 ms/gen)
MATCH A8D31807 after generation 1038 (68759 ms, 66 ms/gen)
